unidad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
11,1197.41592675,1687.08879126,2094.20413259,2461.49804815,2863.98323833,3246.69784514,3611.62982429,3957.94252711,4284.68325897,4674.38225313,5039.37737559,5377.57219327,5687.49681165,5967.99364571,6304.45716788,6551.66519336,6764.97718629,6943.72614964,7087.44779076,7218.06823724
12,805.006978104,1131.20194587,1401.19141207,1644.19075394,1897.17265341,2137.71297673,2366.02114986,2581.96680863,2785.43599449,3011.89412495,3223.1937786,3418.0779336,3595.8431953,3755.92111131,3933.34923763,4061.96011568,4172.66105456,4264.96959786,4338.39245482,4390.64646317
13,1254.56309898,1773.70499757,2210.00126261,2608.00564902,3020.48363133,3418.78535408,3801.66040595,4168.61347649,4518.95933305,4890.0628261,5246.43382516,5580.85030006,5891.77845418,6177.82663539,6463.83086173,6714.65082701,6935.04802956,7123.91743298,7280.11576551,7360.195662
14,3042.43583297,4253.5280286,5241.53373474,6118.37547396,7045.73887616,7924.22758088,8750.55393596,9524.32948766,10245.7046352,11106.2141512,11938.7698623,12705.890449,13404.7828801,14033.3654685,14808.6138263,15282.1786104,15684.1576547,16013.305875,16268.3172004,16531.1705751
15,595.5027751,841.114753482,1046.60673362,1233.06302245,1433.9654561,1626.13800816,1809.62205742,1984.00682062,2148.78363746,2344.30181818,2527.16429303,2696.7576088,2852.35263701,2993.37113705,3163.01942057,3281.00881882,3383.3893184,3469.75201914,3539.74747633,3604.27982609
16,1071.79782069,1519.21366965,1897.32341635,2243.76551681,2607.36819757,2955.62986503,3290.74042343,3612.13639975,3918.92372201,4248.57036258,4559.27201479,4850.20025802,5120.05462037,5367.67452601,5617.91891121,5836.65545503,6028.92857258,6193.77349316,6330.2160342,6405.96034128
17,2849.72875105,4094.89149818,5179.62870304,6198.89211447,7270.63135237,8323.59861546,9356.03965349,10364.3973063,11344.1581247,12356.0240518,13329.1792762,14256.110641,15131.1349991,15948.8912992,16713.3327651,17325.8296479,17860.9748484,18316.2624717,18689.3150054,18806.0480757
18,5052.6401873,7123.79513216,8852.15587948,10418.7512311,12039.8733984,13592.6686088,15074.2249802,16483.090483,17816.6683283,19293.875681,20680.9628159,21969.5751405,23154.3055898,24230.5544523,25424.2575866,26412.1263536,27264.0816488,27977.6102271,28550.1858308,29023.6465643
19,4710.71089201,6837.24866808,8727.37853252,10531.6168677,12446.8660894,14359.6144051,16251.769665,18114.2335332,19937.421576,21881.0883164,23793.1929748,25627.4185245,27370.6188867,29010.5534096,30680.0061752,32409.0741983,33952.3037738,35302.7327608,36453.972991,37326.8124736
20,3856.2238278,5485.40573911,6876.22019742,8163.17595067,9439.99943315,10668.7356568,11853.2383592,12992.4816614,14084.2589288,15197.101665,16251.2858155,17241.9648911,18164.1096486,19012.9841875,19853.5594853,20649.3360346,21342.189239,21929.4539842,22408.0680525,22726.8031263
21,2875.88647698,4198.83540638,5384.71819341,6521.96001668,7796.6004351,9080.01805714,10354.9344137,11612.9672831,12845.7886111,14228.0195497,15574.1728325,16864.0355069,18088.2004979,19238.1608994,20470.1690783,21737.2399634,22866.1918797,23852.8601387,24693.4179695,25363.4506412
22,1254.14790552,1818.37436483,2319.02915034,2796.42750594,3302.42639286,3801.89187311,4295.16596015,4780.03927835,5254.37212109,5740.83168848,6207.59115632,6653.27268238,7074.85292362,7469.48719616,7833.07096116,8117.80122738,8366.16570278,8576.95329854,8748.73078782,8794.24006134
23,1044.77314631,1497.80138783,1889.66408611,2255.1821207,2665.54959983,3065.36979627,3455.15921761,3832.97404133,4196.79384853,4627.53182829,5037.9141969,5424.84025,5785.91718135,6119.10588817,6505.26817051,6885.4727342,7220.12101232,7508.27896404,7749.1774383,8001.773721
