unidad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
24,2876.664509,2905.42483227,2933.70276073,2961.52190527,2987.8716105,3013.02381895,3037.05678271,3060.03648377,3082.02235815,3103.06798266,3122.58086798,3140.69473533,3157.50527606,3173.0978463,3187.54116275,3200.50254742,3212.16338703,3222.63157695,3232.00376817,3239.92548007
25,10753.1806248,10871.5421743,10989.1624574,11106.1115363,11218.5182678,11327.9811393,11434.8017141,11539.1673391,11641.2503708,11741.2076557,11837.3886555,11929.8405334,12018.8539304,12104.6911779,12187.5556047,12266.724501,12340.2184194,12408.6092358,12472.401519,12530.914605
26,4654.07854264,4689.63467436,4724.93568117,4760.02570142,4793.39248985,4825.16566624,4855.92924054,4885.80936706,4914.92045877,4943.36461516,4969.99295724,4995.37935702,5019.69922719,5043.10760095,5065.72674345,5086.84811546,5106.98822445,5126.23305409,5144.65838478,5161.38550689
27,5776.47044059,5845.00980605,5913.64452966,5982.41283439,6049.03475461,6114.50524033,6178.42312389,6240.89927077,6302.03068144,6361.90499563,6419.60192986,6474.7847517,6527.61545272,6578.23591787,6626.75574871,6672.7817753,6715.9514127,6756.50542267,6794.65884814,6829.91317766
28,5797.81914048,5843.94288415,5889.55373404,5934.70749783,5977.47024691,6018.00399448,6056.93134071,6094.41438063,6130.59926225,6165.61640909,6197.98345827,6228.40050772,6257.09180905,6284.25523074,6310.04812588,6333.54730177,6355.76800452,6376.8037884,6396.73837977,6414.4193895
30,4129.46383113,4159.36395388,4189.05123116,4218.56617463,4246.58494186,4273.16468338,4298.87986439,4323.84679805,4348.17093727,4371.94625369,4394.11018969,4415.23312458,4435.47555477,4454.97912845,4473.85563467,4491.43718276,4508.3043726,4524.51752483,4540.1297017,4554.30266788
31,15989.961079,16200.6274388,16412.0279916,16624.2344235,16830.9253246,17035.8727162,17238.188356,17438.0578927,17635.6510103,17831.1252272,18023.0177305,18209.7840409,18391.743796,18569.1861148,18742.3223337,18911.024922,19069.2235838,19218.0089921,19358.3418128,19490.2832247
40,6027.64350177,6088.03652783,6148.87975608,6210.20212249,6270.07115804,6329.42786141,6389.63290911,6450.74811155,6512.84097917,6575.97408829,6639.54086113,6704.00870797,6769.49698088,6836.12022206,6903.95673423,6972.88326978,7038.87876607,7102.39428669,7163.81747875,7223.1529683
41,6467.19195476,6532.18212533,6597.66581949,6663.6738859,6728.13023463,6792.05260049,6856.89571006,6922.72525903,6989.61312631,7057.62596769,7126.11932846,7195.58649421,7266.15479005,7337.94647374,7411.04497653,7485.32408104,7556.44545048,7624.89483215,7691.0896945,7755.04235117
42,4601.53333217,4647.65579079,4694.12726101,4740.96973409,4786.70868991,4832.06479876,4878.08046953,4924.80251102,4972.28216751,5020.56695509,5069.19715075,5118.52916956,5168.65371982,5219.65791803,5271.60122667,5324.39251446,5374.94236179,5423.59632181,5470.65134174,5516.1151314
