unidad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
11,1848.44949607,2580.57187873,3176.98671143,3351.72147011,3317.20818167,3280.42226586,3244.85229034,3210.41204222,3177.05441342,3162.005706,3146.53267309,3130.05667391,3112.85829466,3095.16113727,3099.86756431,3082.86692999,3067.28027722,3052.81262232,3039.27141275,3043.19239024
12,1948.01845317,2720.77747271,3351.18223967,3537.28801024,3498.80009228,3456.63472689,3416.27859901,3377.56330087,3340.4765618,3317.40601145,3295.97953307,3274.33209809,3252.62176847,3230.9718559,3228.40706042,3199.4440535,3174.83367484,3153.74484179,3135.55848172,3125.74589633
13,1002.26118661,1389.88587185,1700.35218322,1783.1984976,1752.97010613,1721.93437234,1692.20536443,1663.62844967,1636.20474527,1624.9644502,1615.86909988,1605.64353619,1594.52499906,1582.70634435,1592.75648294,1587.6525029,1582.05093001,1576.0190151,1569.63470549,1585.41829942
14,2189.60862266,3048.15093334,3742.13435088,3937.09261066,3888.80802308,3838.21022912,3788.91729447,3740.89344412,3694.21579519,3676.24141771,3659.22532687,3640.04254384,3619.23458391,3597.23231581,3609.14983875,3567.99045847,3531.25238165,3498.10654859,3467.93985036,3464.51559547
15,1088.5884467,1520.86681723,1873.96013666,1978.92996457,1952.38002412,1924.94264375,1899.44284274,1875.6225579,1853.29973044,1833.12734371,1814.73444502,1797.47292007,1781.20913532,1765.83535418,1755.21060054,1737.82533943,1722.96788561,1710.16387538,1699.05377736,1689.80046816
16,741.817734987,1035.94954413,1275.83005364,1346.51251058,1334.40758756,1319.8507785,1305.38088561,1290.99821947,1276.77771133,1273.05937773,1266.20004027,1258.39342833,1249.80896077,1240.58386883,1246.56088194,1244.2907763,1241.81213321,1239.13748954,1236.3121829,1244.90613578
17,2692.25698646,3788.57980201,4700.28883287,4996.12709751,4960.49133753,4918.61318742,4879.10171149,4841.61518336,4806.01633213,4780.93440477,4757.53322151,4734.27151916,4711.14714512,4688.16106741,4682.35030084,4738.66306024,4784.49339418,4821.65726144,4851.63706666,4914.03618621
18,4952.26394834,6953.3568829,8606.77289744,9126.85009744,9072.64207573,9007.66809158,8943.49043231,8880.24113109,8818.1930365,8794.59889636,8770.24001591,8742.44992891,8712.06538656,8679.74748605,8690.11231759,8677.0615531,8663.2799493,8648.80660473,8633.75468689,8658.15123846
19,4053.78028473,5679.13745464,7018.25606827,7434.43040827,7331.58429158,7230.19825989,7138.70796759,7055.51402976,6979.71091381,6901.67602359,6843.60752264,6790.39053673,6741.13297451,6695.13711697,6666.47468694,6920.24149228,7133.27190752,7312.57918677,7463.85951567,7683.94079224
20,2870.77224282,4062.45119111,5067.78472614,5415.82900784,5369.79542284,5322.06897771,5281.46224469,5246.73732072,5216.8401673,5155.36358521,5105.47850264,5063.29249056,5027.4233338,4996.77312249,4938.66729965,4872.17445285,4816.16120802,4768.77452371,4728.55598167,4663.4519565
21,3526.32717226,4963.87083865,6161.77047468,6554.48505727,6483.61592789,6417.14401471,6358.58740235,6306.64860718,6260.36852391,6197.80953323,6148.06301698,6104.62580229,6066.40348771,6032.53061089,5993.1210874,6014.36547577,6032.42317412,6047.8131955,6060.95472944,6081.99345455
22,3175.06460119,4527.33911846,5685.357983,6111.25234201,6149.28239659,6170.31517405,6188.24433759,6203.56312454,6216.71923254,6236.38732104,6253.80395171,6268.30249721,6280.34668709,6290.3027359,6302.94035974,6362.13146216,6412.18407254,6454.7007316,6490.97362852,6533.43940614
23,1591.60737645,2251.56207857,2807.15319868,2997.60367838,2989.61037277,2974.86025401,2960.81044029,2947.35972198,2934.51727893,2923.03020026,2910.50257073,2898.28504252,2886.32720534,2874.58807605,2867.13697782,2874.459648,2880.74933441,2886.16193384,2890.84463375,2898.93751288
24,1311.0409412,1852.89361353,2307.69860051,2461.50947668,2458.0297806,2449.56056923,2440.98087117,2432.34871225,2423.74062549,2419.55507615,2414.77057475,2409.51024033,2403.89372967,2398.01406109,2396.34148605,2396.61271971,2396.52948194,2396.13636472,2395.48789951,2398.03503523
25,7309.24669216,10474.4751042,13213.1814293,14261.3926055,14412.5110538,14538.3077063,14652.0405264,14755.5387062,14850.3533871,14942.477983,15035.0544169,15119.3470499,15196.6064461,15267.8179604,15316.702672,15414.186571,15498.457207,15571.880002,15636.2965191,15669.1787265
