unidad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
27,1111.19231599,1243.99212694,1220.22701983,1199.27667411,1171.59143714,1147.48358216,1126.64408916,1108.46345966,1092.527833,1071.00770875,1053.47741957,1038.25786346,1024.9019625,1013.06202572,997.166312462,984.212664655,973.699833606,965.134520101,958.23368117,947.018743839
28,2951.85513927,3291.04520022,3214.21941834,3144.84525417,3057.61752589,2978.72159563,2908.4252781,2845.28214236,2788.35701159,2726.08628003,2674.17726549,2627.58095828,2585.44693718,2547.10908805,2508.52583492,2456.1675026,2412.22932135,2375.05641487,2343.37162886,2313.18470865
30,2295.47453301,2568.40700149,2514.59222605,2464.00031235,2433.05635564,2399.92245964,2366.85901809,2334.15408956,2301.91158292,2293.33449301,2279.38544738,2263.05033156,2245.04020126,2225.89533811,2228.32177034,2178.17137525,2135.54292133,2098.95355362,2067.28194581,2051.58203537
31,3735.05874227,4354.90985716,4428.68513673,4495.20997409,4583.90393625,4657.33679062,4721.80779293,4778.89435554,4829.92869412,4893.36673848,4955.23691883,5009.51414119,5057.46908444,5100.09179481,5148.86378617,5332.28745749,5482.80005638,5607.00252821,5710.04147067,5844.61272691
40,1067.78911795,1185.22721157,1152.85230313,1123.77171442,1077.80176821,1041.6530141,1009.80756781,981.547772614,956.258209998,928.094759206,900.059892011,875.162159348,852.899452402,832.877977896,814.550918114,808.918346229,802.678065965,796.044751273,789.133226037,793.489503779
41,5731.25585222,6795.29055307,7011.08899143,7206.77202721,7439.62888368,7652.04140908,7843.18310421,8016.46956284,8174.27239637,8328.29835626,8459.35436336,8579.19182703,8689.43677743,8791.37246623,8878.40388828,9002.98517713,9107.62471292,9196.29769461,9272.07446375,9325.284771
42,5383.47998956,6222.38903494,6281.25251274,6335.42489357,6376.01822432,6445.80269271,6511.08914294,6572.42573419,6630.30892334,6670.86928495,6721.12379163,6769.63908042,6816.46773647,6861.66401145,6894.16856498,6940.47614801,6980.15715492,7014.48697542,7044.23017517,7062.50718255
43,5240.61620987,6002.57304883,6011.45591617,6021.14278878,5991.63193647,5991.01852416,5994.06534222,5999.95947861,6007.90180542,5993.61063567,5978.87588919,5969.25131941,5963.69123139,5961.38759955,5945.48266454,5930.76346432,5917.35792236,5905.12044102,5893.78287791,5883.64063851
44,3261.21813708,3769.20359163,3804.49084511,3836.84268167,3866.92537046,3896.13839465,3923.57969027,3949.45846332,3973.72216309,3988.63498821,3995.10666285,4002.39895769,4010.28719377,4018.60208896,4021.32060717,4037.75691368,4051.13229594,4062.15062028,4071.37659105,4073.06780343
45,1204.74834018,1428.99731489,1475.24599559,1517.53529636,1561.84043009,1593.9620016,1623.14405899,1649.84834532,1674.31667547,1697.70033016,1713.69905096,1728.64305057,1742.6624742,1755.8605163,1765.00261188,1771.80714202,1776.70232164,1780.11748187,1782.45757808,1782.34681062
