year,zone_id,total
2026,41,2999.30331695
2026,1,621.749985498
2026,3,116.658985201
2026,2,591.878921138
2026,5,4287.24831267
2026,4,1611.64085158
2026,7,584.567196476
2026,6,1201.26402605
2026,9,156.278073084
2026,8,436.99007394
2026,11,474.750113103
2026,10,1498.62242025
2026,13,521.114498056
2026,12,345.964120887
2026,15,150.465417127
2026,14,1644.69768492
2026,17,2228.68671155
2026,16,405.895890087
2026,19,8988.05823637
2026,18,5015.03901666
2026,31,4060.50163326
2026,30,853.987075713
2026,51,87.2631624467
2026,50,102.169070126
2026,53,125.082628046
2026,52,270.237282844
2026,55,442.441980641
2026,48,25.4088477787
2027,54,151.451741829
2027,42,2102.27812752
2027,49,332.823414997
2027,24,142.484304222
2027,25,1925.31549359
2027,26,222.868854051
2027,27,355.59247546
2027,20,2429.38483221
2027,21,3155.38578432
2027,22,686.715579512
2027,23,358.577507448
2027,46,66.6795177465
2027,47,0.0
2027,44,859.54833499
2027,45,704.75115655
2027,28,1488.79324322
2027,43,2209.0893619
2027,40,385.552039958
2027,41,3261.93147934
2027,1,670.06169666
2027,3,124.647728722
2027,2,639.096922057
2027,5,4585.79561038
2027,4,1733.18217152
2027,7,622.055300605
2027,6,1291.29232164
2027,9,168.072552339
2027,8,470.658532411
2027,11,507.014883152
2027,10,1601.57027766
2027,13,559.294626
2027,12,369.989547262
2027,15,161.670377293
2027,14,1753.69513714
2027,17,2388.38428595
2027,16,432.511017591
2027,19,9735.57634746
2027,18,5373.01412702
2027,31,4405.09592407
2027,30,913.281202715
2027,51,94.2848248812
2027,50,109.581482067
2027,53,135.941641658
2027,52,293.589039937
2027,55,480.974742939
2027,48,25.6657710276
2028,54,160.636811352
2028,42,2270.47717779
2028,49,359.33708129
2028,24,151.054103188
2028,25,2065.59651978
2028,26,236.616894529
2028,27,378.772420053
2028,20,2599.23217575
2028,21,3396.80963847
2028,22,734.620358193
2028,23,383.106032176
2028,46,71.1976343356
2028,47,0.0
2028,44,928.285289782
2028,45,760.923173728
2028,28,1580.25615004
2028,43,2385.90954529
2028,40,407.674944704
2028,41,3522.93310057
2028,1,717.43938313
2028,3,132.439242794
2028,2,685.526640134
2028,5,4874.24861295
2028,4,1851.8868945
2028,7,657.991148849
2028,6,1378.95625213
2028,9,179.7465339
2028,8,503.716265722
2028,11,538.255841103
2028,10,1701.07222686
2028,13,596.56481721
2028,12,393.278971053
2028,15,172.709761917
2028,14,1858.65835674
2028,17,2543.33895944
2028,16,458.053025438
2028,19,10473.2012815
2028,18,5720.2701586
2028,31,4745.82560942
2028,30,970.642227573
2028,51,101.237201545
2028,50,116.952196022
2028,53,146.765633337
2028,52,316.82827698
2028,55,519.304236172
2028,48,25.9268631817
2029,54,169.618851124
2029,42,2437.31268367
2029,49,385.633048375
2029,24,159.304105174
2029,25,2203.19616068
2029,26,249.95078674
2029,27,401.35133297
2029,20,2765.0518786
2029,21,3634.90619124
2029,22,781.451709717
2029,23,407.049413372
2029,46,75.8006305964
2029,47,0.0
2029,44,996.462061843
2029,45,816.663212514
2029,28,1668.41131989
2029,43,2561.30205048
2029,40,429.002024398
2029,41,3781.81850053
2029,1,763.820785047
2029,3,140.02936259
2029,2,731.104308432
2029,5,5152.61173854
2029,4,1967.66177499
2029,7,692.414873937
2029,6,1464.17279216
2029,9,191.27711405
2029,8,536.131657426
2029,11,568.478173878
2029,10,1797.17829358
2029,13,632.908723534
2029,12,415.823800717
2029,15,183.565626128
2029,14,1959.68015434
2029,17,2693.50994222
2029,16,482.53749338
2029,19,11199.6122538
2029,18,6056.75874684
2029,31,5082.00675191
2029,30,1026.08352328
2029,51,108.111172986
2029,50,124.26922003
2029,53,157.528074849
2029,52,339.902831724
2029,55,557.356283766
2029,48,26.1924334469
2030,54,178.839341783
2030,42,2607.88377278
2030,49,412.632179914
2030,24,167.138065068
2030,25,2341.51846957
2030,26,262.911991823
2030,27,423.577825593
2030,20,2929.87897784
2030,21,3876.41303412
2030,22,828.004536766
2030,23,430.956913404
2030,46,80.5530343145
2030,47,0.0
2030,44,1066.15719575
2030,45,873.868871302
2030,28,1752.33011092
2030,43,2740.64154958
2030,40,450.278138669
2030,41,4046.50643442
2030,1,810.119446752
2030,3,147.418291582
2030,2,776.645492971
2030,5,5420.22501791
2030,4,2081.68731183
2030,7,724.533833554
2030,6,1548.50758014
