meses,ponderador,,meses,ponderador baja demanda,,meses,ponderador media demanda,,,,,,0-9,"1,7392340","1,5913870"
123,"4,175177189",,123,"2,190950196",,123,"3,192081869",,,,,,,,
124,"4,187738704",,124,"2,193660554",,124,"3,199762578",,,,,,,,
125,"4,200162821",,125,"2,196350663",,125,"3,207363932",,,,,,,,
126,"4,212449864",,126,"2,199020934",,126,"3,214886297",,,,,,,,
127,"4,224600152",,127,"2,201671769",,127,"3,222330033",,,,,,,,
128,"4,236613995",,128,"2,204303559",,128,"3,22969549",,,,,,,,
129,"4,248491698",,129,"2,206916689",,129,"3,236983014",,,,,,,,
130,"4,260233557",,130,"2,209511536",,130,"3,244192939",,,,,,,,
131,"4,271839865",,131,"2,212088465",,131,"3,251325596",,,,,,,,
132,"4,283310906",,132,"2,214647837",,132,"3,258381305",,,,,,,,
133,"4,294646958",,133,"2,217190005",,133,"3,265360383",,,,,,,,
134,"4,305848295",,134,"2,219715312",,134,"3,272263138",,,,,,,,
135,"4,316915184",,135,"2,222224097",,135,"3,279089871",,,,,,,,
136,"4,327847887",,136,"2,22471669",,136,"3,285840878",,,,,,,,
137,"4,33864666",,137,"2,227193414",,137,"3,292516451",,,,,,,,
138,"4,349311755",,138,"2,229654587",,138,"3,299116871",,,,,,,,
139,"4,359843416",,139,"2,232100519",,139,"3,305642417",,,,,,,,
140,"4,370241886",,140,"2,234531515",,140,"3,312093361",,,,,,,,
141,"4,380507401",,141,"2,236947872",,141,"3,318469971",,,,,,,,
142,"4,390640191",,142,"2,239349884",,142,"3,324772508",,,,,,,,
143,"4,400640484",,143,"2,241737836",,143,"3,331001229",,,,,,,,
144,"4,410508502",,144,"2,24411201",,144,"3,337156384",,,,,,,,
145,"4,420244463",,145,"2,246472681",,145,"3,34323822",,,,,,,,
146,"4,429848581",,146,"2,248820119",,146,"3,34924698",,,,,,,,
147,"4,439321067",,147,"2,251154588",,147,"3,355182899",,,,,,,,
148,"4,448662124",,148,"2,253476349",,148,"3,361046211",,,,,,,,
149,"4,457871956",,149,"2,255785656",,149,"3,366837143",,,,,,,,
150,"4,466950761",,150,"2,258082759",,150,"3,372555919",,,,,,,,
151,"4,475898731",,151,"2,260367904",,151,"3,378202759",,,,,,,,
152,"4,484716059",,152,"2,26264133",,152,"3,383777878",,,,,,,,
153,"4,493402931",,153,"2,264903276",,153,"3,389281488",,,,,,,,
154,"4,50195953",,154,"2,267153971",,154,"3,394713795",,,,,,,,
155,"4,510386038",,155,"2,269393644",,155,"3,400075005",,,,,,,,
156,"4,518682631",,156,"2,271622519",,156,"3,405365316",,,,,,,,
157,"4,526849482",,157,"2,273840814",,157,"3,410584925",,,,,,,,
158,"4,534886762",,158,"2,276048745",,158,"3,415734025",,,,,,,,
159,"4,542794639",,159,"2,278246524",,159,"3,420812806",,,,,,,,
160,"4,550573278",,160,"2,280434359",,160,"3,425821452",,,,,,,,
161,"4,55822284",,161,"2,282612453",,161,"3,430760148",,,,,,,,
162,"4,565743483",,162,"2,284781007",,162,"3,435629072",,,,,,,,
163,"4,573135365",,163,"2,286940219",,163,"3,440428401",,,,,,,,
164,"4,580398638",,164,"2,289090281",,164,"3,445158308",,,,,,,,
165,"4,587533452",,165,"2,291231385",,165,"3,449818963",,,,,,,,
166,"4,594539957",,166,"2,293363716",,166,"3,454410535",,,,,,,,
167,"4,601418298",,167,"2,29548746",,167,"3,458933186",,,,,,,,
168,"4,608168616",,168,"2,297602796",,168,"3,46338708",,,,,,,,
169,"4,614791055",,169,"2,299709902",,169,"3,467772374",,,,,,,,
170,"4,621285751",,170,"2,301808954",,170,"3,472089226",,,,,,,,
171,"4,62765284",,171,"2,303900121",,171,"3,476337788",,,,,,,,
172,"4,633892457",,172,"2,305983574",,172,"3,480518213",,,,,,,,
173,"4,640004732",,173,"2,308059479",,173,"3,484630648",,,,,,,,
174,"4,645989796",,174,"2,310127998",,174,"3,488675241",,,,,,,,
175,"4,651847775",,175,"2,312189293",,175,"3,492652134",,,,,,,,
176,"4,657578795",,176,"2,314243522",,176,"3,496561469",,,,,,,,
177,"4,663182978",,177,"2,316290839",,177,"3,500403385",,,,,,,,
178,"4,668660447",,178,"2,318331399",,178,"3,50417802",,,,,,,,
179,"4,674011319",,179,"2,320365351",,179,"3,507885508",,,,,,,,
180,"4,679235713",,180,"2,322392844",,180,"3,511525981",,,,,,,,
181,"4,684333744",,181,"2,324414023",,181,"3,51509957",,,,,,,,
182,"4,689305525",,182,"2,326429033",,182,"3,518606404",,,,,,,,
183,"4,694151169",,183,"2,328438014",,183,"3,52204661",,,,,,,,
184,"4,698870785",,184,"2,330441105",,184,"3,52542031",,,,,,,,
185,"4,703464482",,185,"2,332438444",,185,"3,528727629",,,,,,,,
186,"4,707932367",,186,"2,334430165",,186,"3,531968686",,,,,,,,
187,"4,712274545",,187,"2,3364164",,187,"3,5351436",,,,,,,,
188,"4,716491119",,188,"2,338397281",,188,"3,538252489",,,,,,,,
189,"4,720582191",,189,"2,340372937",,189,"3,541295468",,,,,,,,
190,"4,724547863",,190,"2,342343493",,190,"3,54427265",,,,,,,,
191,"4,728388231",,191,"2,344309075",,191,"3,547184146",,,,,,,,
192,"4,732103395",,192,"2,346269807",,192,"3,550030068",,,,,,,,
193,"4,735693449",,193,"2,348225808",,193,"3,552810523",,,,,,,,
194,"4,739158489",,194,"2,350177199",,194,"3,555525618",,,,,,,,
195,"4,742498608",,195,"2,352124096",,195,"3,558175458",,,,,,,,
196,"4,745713896",,196,"2,354066617",,196,"3,560760148",,,,,,,,
197,"4,748804446",,197,"2,356004875",,197,"3,563279789",,,,,,,,
198,"4,751770345",,198,"2,357938982",,198,"3,565734482",,,,,,,,
199,"4,754611683",,199,"2,35986905",,199,"3,568124327",,,,,,,,
200,"4,757328544",,200,"2,361795188",,200,"3,57044942",,,,,,,,
201,"4,759921015",,201,"2,363717503",,201,"3,57270986",,,,,,,,
202,"4,76238918",,202,"2,365636103",,202,"3,57490574",,,,,,,,
203,"4,764733121",,203,"2,36755109",,203,"3,577037154",,,,,,,,
204,"4,766952921",,204,"2,36946257",,204,"3,579104196",,,,,,,,
205,"4,76904866",,205,"2,371370643",,205,"3,581106955",,,,,,,,
206,"4,771020417",,206,"2,37327541",,206,"3,583045522",,,,,,,,
207,"4,772868271",,207,"2,37517697",,207,"3,584919985",,,,,,,,
208,"4,774592299",,208,"2,37707542",,208,"3,586730432",,,,,,,,
209,"4,776192578",,209,"2,378970857",,209,"3,588476948",,,,,,,,
210,"4,777669181",,210,"2,380863375",,210,"3,590159619",,,,,,,,
211,"4,779022185",,211,"2,382753069",,211,"3,591778529",,,,,,,,
212,"4,780251661",,212,"2,38464003",,212,"3,59333376",,,,,,,,
213,"4,781357682",,213,"2,38652435",,213,"3,594825393",,,,,,,,
214,"4,782340319",,214,"2,388406118",,214,"3,59625351",,,,,,,,
215,"4,783199643",,215,"2,390285423",,215,"3,597618189",,,,,,,,
216,"4,783935722",,216,"2,392162353",,216,"3,598919509",,,,,,,,
217,"4,784548624",,217,"2,394036994",,217,"3,600157547",,,,,,,,
218,"4,785038419",,218,"2,395909431",,218,"3,601332379",,,,,,,,
219,"4,785405171",,219,"2,397779749",,219,"3,60244408",,,,,,,,
220,"4,785648946",,220,"2,399648029",,220,"3,603492725",,,,,,,,
221,"4,78576981",,221,"2,401514354",,221,"3,604478387",,,,,,,,
222,"4,785767826",,222,"2,403378805",,222,"3,605401138",,,,,,,,
223,"4,785643058",,223,"2,405241462",,223,"3,60626105",,,,,,,,
224,"4,785395568",,224,"2,407102402",,224,"3,607058193",,,,,,,,
225,"4,785025417",,225,"2,408961705",,225,"3,607792636",,,,,,,,
226,"4,784532666",,226,"2,410819446",,226,"3,608464449",,,,,,,,
227,"4,783917375",,227,"2,412675702",,227,"3,609073699",,,,,,,,
228,"4,783179604",,228,"2,414530547",,228,"3,609620453",,,,,,,,
229,"4,78231941",,229,"2,416384054",,229,"3,610104777",,,,,,,,
230,"4,781336852",,230,"2,418236298",,230,"3,610526736",,,,,,,,
231,"4,780231987",,231,"2,420087349",,231,"3,610886395",,,,,,,,
232,"4,77900487",,232,"2,421937279",,232,"3,611183817",,,,,,,,
233,"4,777655558",,233,"2,423786159",,233,"3,611419066",,,,,,,,
234,"4,776184105",,234,"2,425634057",,234,"3,611592202",,,,,,,,
235,"4,774590566",,235,"2,427481042",,235,"3,611703288",,,,,,,,
236,"4,772874993",,236,"2,429327181",,236,"3,611752385",,,,,,,,
237,"4,771037441",,237,"2,431172542",,237,"3,611739551",,,,,,,,
238,"4,769077961",,238,"2,43301719",,238,"3,611664846",,,,,,,,
239,"4,766996605",,239,"2,434861191",,239,"3,611528328",,,,,,,,
